TeamID;ShortText;Promotion;InitialELO;League;Region;Name
20480;GUE;0;1229.91408437257;1034;;Gütersloh W
20494;WEIA;0;1197.43842189434;1034;;Weinberg W
22294;WO2;-50;1192.69825872463;1034;;Wolfsburg II W
20493;WAR;0;1158.15700076499;1034;;Warbeyen W
190;FCEA;0;1072.92;85;Nordost;Erzgebirge Aue
786;M60;0;1167.68;83;Bayern;TSV 1860 München
14717;LAB;0;786.42;83;Bayern;Landsberg
14754;RSV;0;878.01;85;Nordost;RSV Eintracht
12800;FCK2;-50;793.67;86;SuedWest;Kaiserslautern II
12889;VFRM;0;793.67;86;SuedWest;VfR Mannheim
12790;VFBH;0;916.52;87;West;Hilden
14826;WRH;0;916.52;87;West;Westfalia Rhynern
27444;BSC;0;1208.98;1034;;Hertha Berlin W
28045;KOE2;-50;1208.98;1034;;FC Koln II W
