TeamID;ShortText;Promotion;InitialELO
157;FCB;0;1969.32428619061
158;F95;0;1466.17960508047
159;BSC;0;1398.38965008223
160;SCF;0;1689.29861493263
161;WOB;0;1644.4940564543
162;BRE;0;1678.97752473925
163;BMG;0;1621.80116542982
164;M05;0;1714.42387083943
165;BVB;0;1818.54564726202
166;H96;0;1427.79457838825
167;HOF;0;1599.68074074587
168;B04;0;1912.97848509498
169;SGE;0;1763.24343677236
170;FCA;0;1613.10382216218
171;FCN;0;1365.38002312514
172;STU;0;1753.2191395997
173;RBL;0;1756.81135852262
174;S04;0;1339.680813042
175;HSV;0;1525.18610820616
176;BOC;0;1489.71489418802
177;REG;0;1212.60059257419
178;SGF;0;1337.43249429802
179;FCM;0;1402.74107175447
180;HDH;0;1541.61988471713
181;D98;0;1387.82877282987
182;FCU;0;1606.70145590193
183;SGD;0;1297.98227373306
184;FCI;0;1196.3020642118
185;SCP;0;1447.12069569855
186;STP;0;1553.04235418508
187;MSV;0;1064.08417327717
188;DSC;0;1325.27518131755
190;AUE;0;1134.91242133804
191;KIE;0;1500.42370856815
192;KOE;0;1521.12257185695
744;EBS;0;1319.94999435376
745;FCK;0;1397.15393024478
785;KSC;0;1438.8809339486
786;M60;0;1173.31044391202
1313;PMS;0;1319.24541488265
1319;WW;0;1191.36319150705
1320;FCE;0;1153.84085095974
1321;ROS;0;1229.07844022903
1324;OSN;0;1175.07396601458
1620;VIK;0;1195.69843763929
1621;RWE;0;1209.91322204752
1635;S05;0;1064.08417327717
1639;FCS;0;1246.47178903556
1652;ULM;0;1282.76248237155
1660;ELV;0;1452.23175295366
4259;AAC;0;1147.72689040636
4265;SCV;0;1214.41359417102
4268;SVW;0;1149.83902319286
9342;HAV;0;1064.08417327717
9364;HO2;-50;1064.08417327717
12867;ST2;-50;1120.37558517845
